gene_id	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
ENSG00000007866.23	1479.554	2086.577	1691.133	1392.901	1240.606	2209.1	1108.723	1776.888
ENSG00000007908.16	0	0	0	0	0	0	0	0
ENSG00000007923.19	960.898	945.396	1184.578	674.554	1325.33	1689.233	915.104	931.89
ENSG00000007933.15	782.52	810.723	2216.311	1620.566	236.926	367.203	292.478	287.027
ENSG00000007944.17	381.027	258	551.111	200	543.374	475.542	337.999	248.018
ENSG00000007952.20	4.075	3.041	3.037	6	7.188	7.156	2	5.103
ENSG00000007968.9	8.343	6.307	6.46	3.262	3.808	7.803	3.397	0.97
ENSG00000008018.11	1680.216	1494.94	1804.911	1107.142	1652.93	1999.258	1359.116	1398.061
ENSG00000008056.16	7	22.999	24	15	14	24.001	13	22
ENSG00000008083.16	281.357	267	297.396	228	317.209	561.498	240.977	383
ENSG00000008086.14	354.422	328.905	419.114	188.114	465.759	571.048	321.881	322.893
ENSG00000008118.12	3	4	9	2	9	4	6	12
ENSG00000008128.25	534.402	644.766	591.448	321.865	285.583	329.593	608.939	831.397
ENSG00000008130.17	1255.735	1811.957	1400.626	1422.256	1425.274	2336.421	1109.895	2499.014
ENSG00000008196.14	1	1	1	1	0	0	0	0
ENSG00000008197.5	0	0	0	0	0	0	0	0
ENSG00000008226.22	9.602	5.507	8.763	4.48	7.738	7.345	4.575	19.631
ENSG00000008256.19	1821.395	3072.03	3050.598	3684.156	2784.105	8688.052	2126.079	5355.078
ENSG00000008277.17	18	12.782	23	11.566	17.751	13.599	23	15.025
ENSG00000008282.12	1897.229	1800.169	1994.588	1676.796	1925.189	2743.402	1866.182	2191.314
ENSG00000008283.18	572.764	492.52	627.026	348.645	643.205	855.021	448.385	429.903
ENSG00000008294.24	2880.101	2335.317	3610.613	2054.911	3326.309	3984.489	2995.873	3052.645
ENSG00000008300.17	66.016	83	91.999	50	124	179	71	90
ENSG00000008311.18	900.054	1710.379	1052.637	1253.429	830.346	1728.738	761.677	1934.574
ENSG00000008323.18	8.286	19.45	9.027	6.021	20.984	20.735	9.962	11.251
ENSG00000008324.14	115.267	160	85.945	104.082	111.327	152.061	112.862	145.317
ENSG00000008382.18	165.041	117.574	170.967	92.074	204.109	272.962	132.098	163.947
ENSG00000008394.15	2769.192	2891.673	2996.707	1991.828	7267.421	8213.392	2557.933	2727.469
ENSG00000008405.14	269.909	284.441	306.103	171.485	308.882	445.737	339.019	279.339
ENSG00000008438.6	1	8	2	1	1	2	0	2
ENSG00000008441.20	13889.531	9706.64	13684.696	6236.808	12328.984	11829.843	12354.305	10090.259
ENSG00000008513.19	2108.09	1240.132	1792.365	608.156	2719.145	2371.798	1665.047	1116.667
ENSG00000008516.21	8.034	1.098	3.118	0	4.229	10.549	7.89	6.577
ENSG00000008517.21	176.223	92.203	205.422	70.326	65.185	68.195	185.632	117.117
ENSG00000008710.20	4599.238	4892.321	4926.526	3045.996	4028.336	8668.946	4249.166	7192.028
ENSG00000008735.16	13.464	21.365	21.186	15.043	20.65	16.625	16.876	27.795
ENSG00000008838.23	1250.604	1025.798	1359.412	702.973	1451.114	1744.519	1050.523	1157.435
ENSG00000008853.20	643.404	769.388	750.717	632.763	695.918	1226.458	690.394	1283.028
ENSG00000008869.14	757.638	653.838	798.276	480.194	805.411	968.46	687.346	741.402
ENSG00000008952.19	4534.543	4495.377	5468.271	3655.616	5808.137	8177.071	4971.555	5281.795
ENSG00000008988.13	13238.325	11938.767	13587.347	7255.88	11946.179	13797.006	9916.793	9694.918
ENSG00000009307.19	15049.221	13030.456	20121.541	11754.557	20154.591	22348.508	13684.515	15182.556
ENSG00000009335.21	2055.101	2077.7	2251.756	1539.125	2460.214	3293.543	1775.327	2053.102
ENSG00000009413.18	5583.285	10857.247	5848.817	8213.253	6319.107	11408.108	5210.897	13386.705
ENSG00000009694.15	22.495	8	2	2	2	0	1	1
ENSG00000009709.15	0	0	0	0	0	0	0	0
ENSG00000009724.20	72.144	51.961	94.939	48.795	82.816	71.053	73.454	63.837
ENSG00000009765.17	5.402	7.501	2.174	4.373	6.731	3.317	4.155	7.279
ENSG00000009780.18	163.294	219.239	163.018	180.974	159.405	226.691	154.026	216.361
ENSG00000009790.17	0	2	4.14	0	3.169	1.142	2.054	2.126
ENSG00000009830.15	441.94	423.221	462.186	306.555	518.694	630.225	387.657	369.966
ENSG00000009844.18	843.503	691.199	1071.557	555.278	1111.622	1245.993	767.548	840.145
ENSG00000009950.18	15.671	17.934	9.053	1	6.322	15.895	3.616	12.545
ENSG00000009954.12	2825.881	2642.532	3424.929	1994.356	3850.683	3917.626	2877.653	2816.334
ENSG00000010017.15	1507.913	2294.462	1850.556	1939.769	2051.86	2995.94	1667.494	3194.74
ENSG00000010030.15	38.1	19.403	28.047	11.019	22.528	15.569	27.071	14.014
ENSG00000010072.18	181.231	157.529	209.058	127.718	229.213	239.128	173.01	162.026
ENSG00000010165.22	966.43	954.787	1170.344	622.469	1043.674	1140.821	817.114	810.699
ENSG00000010219.15	263.062	192.724	309.945	139.013	319.076	329.02	203.16	184.289
ENSG00000010244.21	2782.234	2614.286	2969.687	1736.541	3555.001	4494.202	2038.086	2311.724
ENSG00000010256.14	1657.876	1814.655	1683.641	1360.568	2007.501	3250.313	1263.016	2001.051
ENSG00000010270.16	883.321	812.001	844.536	513.102	971.048	1046.043	600.983	699.558
ENSG00000010278.17	3127.9	3508.035	3795.663	3645.657	2667.457	5008.615	3569.748	5196.54
ENSG00000010282.17	1	0	0	0	0	0	0	0
ENSG00000010292.15	1424.269	1127.892	1417.062	869.228	1344.551	1572.543	1133.035	1377.226
ENSG00000010295.22	1442.92	1239.917	1745.396	848.415	951.981	1057.241	1222.627	1327.997
ENSG00000010310.11	15.765	6.012	32.494	6.65	27.566	14.612	20.662	16.553
ENSG00000010318.24	104.802	102.775	123.356	90.535	131.898	103.454	128.442	142.376
ENSG00000010319.9	1	0	2	0	0	2	0	1
ENSG00000010322.18	2667.007	1908.177	3323.33	1496.274	3779.997	3767.597	2483.071	2253.678
ENSG00000010327.12	0	0	1	1.003	0	1	1	1
ENSG00000010361.16	258.455	247.583	288.408	166.289	211.672	261.994	220.2	318.026
ENSG00000010379.18	0	1	2	2	0	0	0	0
ENSG00000010404.20	2448.809	2067.978	3766.042	2379.525	3545.714	4973.295	2904.295	3524.985
ENSG00000010438.17	10	10	14	9	21	43	37.001	35
ENSG00000010539.14	142.707	123.425	155.774	92.061	176.511	203.926	132.689	113.314
ENSG00000010610.12	31	23	94	48	133	135.001	26	17
ENSG00000010626.17	163.402	113.528	212.746	113.216	187.23	197.34	180.951	124.449
ENSG00000010671.20	0	3.517	8.399	4.002	10.16	9.913	3.136	4.672
ENSG00000010704.21	548.515	348.706	631.842	356.571	516.366	559.105	499.358	536.722
ENSG00000010803.20	795.953	724.742	901.208	549.866	995.974	1104.502	722.157	751.375
ENSG00000010810.20	1701.457	1678.889	1666.623	933.688	2508.288	2870.223	1331.042	1467.527
ENSG00000010818.13	1774.127	1175.628	1934.63	791.99	2149	2195.034	1478.376	1204.337
ENSG00000010932.18	11.758	18	78.058	61	0	19	19	22
ENSG00000011007.15	1427.597	1345.62	1405.142	976.87	1513.491	1952.264	1051.73	1290.404
