gene_id	gene_name	SYMBOL	ENTREZID	baseMean	log2FoldChange	padj
ENSG00000171132.16	PRKCE	PRKCE	5581	410.989041380961	-1.24645101497514	5.95918079049263e-14
ENSG00000117461.17	PIK3R3	PIK3R3	8503	216.416770366245	-1.52673998522711	6.38697639078722e-14
ENSG00000119514.9	GALNT12	GALNT12	79695	441.572259306096	-1.17727203677655	7.78268294448327e-14
ENSG00000196155.15	PLEKHG4	PLEKHG4	25894	250.783749957007	-1.38287929880595	8.15473189851982e-14
ENSG00000116711.12	PLA2G4A	PLA2G4A	5321	121.202507889718	-2.3783894281728	9.63800874623784e-14
ENSG00000134253.10	TRIM45	TRIM45	80263	153.949172127405	-1.98272647198524	1.07093453082767e-13
ENSG00000106976.24	DNM1	DNM1	1759	1079.5652956252	-1.94648695662427	1.32596625082637e-13
ENSG00000196230.16	TUBB	TUBB	203068	11734.2676496795	-1.29006035655508	1.36927679965978e-13
ENSG00000170624.16	SGCD	SGCD	6444	2130.99093032792	-1.09768033430565	2.70343789103522e-13
ENSG00000205213.16	LGR4	LGR4	55366	397.986070051363	-1.08724456100979	3.03767843410991e-13
ENSG00000131771.16	PPP1R1B	PPP1R1B	84152	97.7902085579447	-3.03293187970368	3.16271677552556e-13
ENSG00000147655.14	RSPO2	RSPO2	340419	153.56305154066	-1.64663985064527	4.15341927802931e-13
ENSG00000089041.19	P2RX7	P2RX7	5027	157.063696006785	-1.84321233395658	4.98268555609954e-13
ENSG00000133110.17	POSTN	POSTN	10631	4172.59641870014	-1.45516284645364	6.267106275193e-13
ENSG00000013293.7	SLC7A14	SLC7A14	57709	236.057749074349	-1.93070877352337	6.71823643743381e-13
ENSG00000185745.11	IFIT1	IFIT1	3434	252.087940338792	-1.6395758704303	7.01914481930521e-13
ENSG00000113361.15	CDH6	CDH6	1004	2373.49683803223	-1.17718235486126	9.24870463129379e-13
ENSG00000143344.18	RGL1	RGL1	23179	1130.20719431174	-1.08574818207895	1.02726850835787e-12
