ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0060326	cell chemotaxis	19/365	204/12778	0.0931372549019608	3.26056943325275	5.58108592091931	6.10499597344504e-06	0.000912085144671099	0.000709608438388987	VCAM1/CXCL12/CCN3/S1PR1/TNFAIP6/HGF/ACKR4/VEGFA/IL12A/TGFB2/IL34/CCL8/CXCL16/EGR3/LGALS9/CH25H/CCL7/TNFRSF11A/CCL11	19
GO:0050769	positive regulation of neurogenesis	18/365	186/12778	0.0967741935483871	3.38789217852408	5.62530830291784	6.28850761632032e-06	0.000912085144671099	0.000709608438388987	CXCL12/WNT2/CRABP2/EPHB2/LIF/RND2/ROBO1/SMO/VEGFA/CDON/IL34/SLC7A5/NGF/EGR2/ZNF365/ELL3/ZNF488/TENM4	18
GO:0002761	regulation of myeloid leukocyte differentiation	12/365	88/12778	0.136363636363636	4.77384806973848	6.0914044887486	7.16384035453305e-06	0.000999080197136032	0.000777291180167958	LRRC17/TNFRSF11B/LIF/RASSF2/TNFAIP6/EEIG1/GPR68/IL34/MAFB/CAMK4/INPP5D/TNFRSF11A	12
GO:0060560	developmental growth involved in morphogenesis	18/365	190/12778	0.0947368421052632	3.31656813266042	5.51653036531739	8.46667095134699e-06	0.00113704255072534	0.000884626828444831	CXCL12/SEMA3A/CRABP2/FLRT3/FGF10/S1PR1/RND2/POSTN/CYFIP2/NEDD4L/FGF13/SOX9/SEMA6D/VEGFA/SFRP2/NGF/FGFR2/CCL11	18
GO:0043408	regulation of MAPK cascade	32/365	485/12778	0.065979381443299	2.3098206468013	5.04285246349777	9.22191376906616e-06	0.00119423783309407	0.000929125146657794	GDF15/SEMA3A/NEK10/EPHB2/FGF10/LIF/DUSP10/PRKCE/P2RX7/RASSF2/ROBO1/HGF/TRIB3/JUN/PAK3/VEGFA/AGT/CDON/TNIK/BMPER/RAMP3/TGFB2/IL34/NRG1/ADRA2A/PSCA/LGALS9/TMEM106A/NGF/ADORA1/FGFR2/TNFRSF11A	32
GO:1905330	regulation of morphogenesis of an epithelium	9/365	51/12778	0.176470588235294	6.17792103142627	6.35330918158563	1.20826655230095e-05	0.00151074983401491	0.00117537363345428	WNT2/FGF10/LIF/LGR4/SOX9/HGF/SMO/VEGFA/AGT	9
GO:0051046	regulation of secretion	29/365	432/12778	0.0671296296296296	2.35008878741755	4.89512255636049	1.77915648729972e-05	0.00215040714098293	0.00167303136349588	CCKAR/SOX4/CXCL12/CCN3/FGF10/LIF/PRKCE/PLA2G4A/P2RX7/SDC1/AGT/IL12A/GPR68/TGFB2/ADCY8/NRG1/CAMK2A/ADRA2A/LGALS9/RAB27B/SNCAIP/NGF/ADORA1/WNK4/PER2/EPHA5/ACVR1C/TNFRSF11A/CD177	29
GO:0010959	regulation of metal ion transport	20/365	241/12778	0.0829875518672199	2.9052464048201	5.12018155863013	1.95147243408492e-05	0.00218480223045559	0.00169979097675298	CXCL12/PRKCE/P2RX7/BDKRB1/CLIC2/NEDD4L/FGF13/ANK2/SCN1B/KCNE3/KCNS1/AGT/RGS4/CAMK2A/ADRA2A/SPTBN4/NGF/ADORA1/WNK4/PLPP4	20
GO:1901890	positive regulation of cell junction assembly	11/365	82/12778	0.134146341463415	4.69622452388908	5.75777003817834	2.0222812302088e-05	0.00218480223045559	0.00169979097675298	EPHB2/FLRT3/LRRC15/LRRTM2/EPHB3/VEGFA/AGT/SLITRK6/RTN4RL2/LRRN1/LRRN3	11
GO:0050900	leukocyte migration	21/365	262/12778	0.0801526717557252	2.80600230053331	5.06475765535576	2.04862867720602e-05	0.00218480223045559	0.00169979097675298	VCAM1/CXCL12/GDF15/CCN3/S1PR1/BDKRB1/TNFAIP6/HMOX1/VEGFA/IL12A/TGFB2/IL34/CCL8/CXCL16/LGALS9/CH25H/ADORA1/CCL7/TNFRSF11A/CD177/CCL11	21
GO:0090287	regulation of cellular response to growth factor stimulus	21/365	262/12778	0.0801526717557252	2.80600230053331	5.06475765535576	2.04862867720602e-05	0.00218480223045559	0.00169979097675298	GDF15/FST/PEG10/FGF10/CYFIP2/TNFAIP6/ROBO1/CDKN2B/PMEPA1/VEGFA/VASN/AGT/IL12A/FSTL5/CHRDL2/BMPER/GDF5/SFRP2/PTP4A3/TSPAN32/ZNF423	21
GO:1903522	regulation of blood circulation	17/365	185/12778	0.0918918918918919	3.21697149203999	5.20839451682879	2.24341730224687e-05	0.00232418032512775	0.00180822808120951	TBX18/BDKRB2/CLIC2/FGF13/ADM2/ANK2/SCN1B/KCNE3/AGT/RGS4/TGFB2/ARHGAP42/CACNA1G/ADRA2A/SPTBN4/ADORA1/PER2	17
GO:0030595	leukocyte chemotaxis	15/365	149/12778	0.100671140939597	3.52431736692103	5.31465539256033	2.33431413621192e-05	0.00235117307164011	0.00182922862135905	CXCL12/CCN3/S1PR1/TNFAIP6/VEGFA/IL12A/TGFB2/IL34/CCL8/CXCL16/LGALS9/CH25H/CCL7/TNFRSF11A/CCL11	15
GO:0048638	regulation of developmental growth	20/365	245/12778	0.0816326530612245	2.85781381045569	5.03477667167469	2.4773888446217e-05	0.00242784106772927	0.00188887684312551	CXCL12/GDF15/WNT2/SEMA3A/CRABP2/DUSP10/RND2/NEDD4L/FGF13/SMO/SEMA6D/VEGFA/RGS4/PI16/GDF5/NRG1/SPTBN4/NGF/FGFR2/COLQ	20
GO:0001503	ossification	25/365	351/12778	0.0712250712250712	2.49346290442181	4.86505047886745	2.57284110781479e-05	0.00245503206761485	0.00191003162574616	ITGA11/COL1A1/CCN3/TMEM119/LRRC17/TENT5A/S1PR1/LGR4/RSPO2/P2RX7/RASSF2/TNFAIP6/SOX9/HGF/DNAI3/SMO/VEGFA/CHRDL2/GDF5/CYP24A1/SFRP2/EGR2/TFAP2A/FGFR2/TNFRSF11A	25
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	12/365	101/12778	0.118811881188119	4.15939237759392	5.46611179348258	2.9801494097584e-05	0.00266379806251635	0.00207245298793619	CXCL12/ADCY1/S1PR1/GNG2/ADM2/GPR68/RAMP3/ADCY8/ADCY4/ADRA2A/RXFP1/GPR78	12
GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis	5/365	14/12778	0.357142857142857	12.5029354207436	7.38417199022036	2.99464058722308e-05	0.00266379806251635	0.00207245298793619	LGR4/SOX9/SMO/VEGFA/AGT	5
GO:0045596	negative regulation of cell differentiation	31/365	491/12778	0.0631364562118126	2.21029489719053	4.68955378383924	3.01201656269085e-05	0.00266379806251635	0.00207245298793619	SOX4/IGDCC4/CCN3/FST/TMEM119/LRRC17/EPHB2/FGF10/TNFRSF11B/DUSP10/TENT5C/TNFAIP6/FGF13/MEIS2/YPEL4/SOX9/SOCS1/TRIB3/SMO/SEMA6D/VEGFA/VASN/GPR68/RGS4/TGFB2/PI16/MAFB/GDF5/SFRP2/INPP5D/CCL11	31
GO:0050807	regulation of synapse organization	20/365	249/12778	0.0803212851405622	2.81190515486604	4.95107415921247	3.126955445716e-05	0.00269062721802126	0.00209332625317066	AMOT/TUBA1A/EPHB2/FLRT3/LRRC15/RPS6KA5/TUBB/SLC7A11/CYFIP2/NEDD4L/CTTNBP2/LRRTM2/PAK3/EPHB3/SLITRK6/PLPPR4/RTN4RL2/LRRN1/COLQ/LRRN3	20
GO:0018108	peptidyl-tyrosine phosphorylation	11/365	86/12778	0.127906976744186	4.47779547626633	5.54894901035999	3.19076035231424e-05	0.00269062721802126	0.00209332625317066	ARHGEF2/RAP2B/EPHB2/FGF10/LIF/ENPP2/VEGFA/IL12A/NRG1/SFRP2/FGFR2	11
GO:0018212	peptidyl-tyrosine modification	11/365	87/12778	0.126436781609195	4.42632656274602	5.49873714056418	3.56070653329191e-05	0.00293434588402647	0.00228294103091443	ARHGEF2/RAP2B/EPHB2/FGF10/LIF/ENPP2/VEGFA/IL12A/NRG1/SFRP2/FGFR2	11
GO:0002521	leukocyte differentiation	29/365	450/12778	0.0644444444444444	2.25608523592085	4.65159137832375	3.7761483752062e-05	0.00304273644633282	0.00236726962469067	VCAM1/SOX4/LRRC17/TNFRSF11B/LIF/DUSP10/PIK3R3/RASSF2/TNFAIP6/SOCS1/JUN/EEIG1/VEGFA/IL12A/GPR68/BLNK/IL34/MAFB/MERTK/EGR3/LGALS9/LFNG/CAMK4/TNFSF13B/CFB/INPP5D/TNFSF9/JAG2/TNFRSF11A	29
