ENTREZID	stat
8775	4.56214601740399
23648	4.55979749661382
5937	4.55350832369996
151056	4.55254989741464
3297	4.55057018294537
647024	4.54524217588085
3092	4.54364645599551
4337	4.54085477259494
8895	4.54084704310313
123720	4.53851032919852
51177	4.53733435677842
3176	4.53361303681689
83857	4.53270664332244
5795	4.52993202158473
10312	4.5259333218812
55022	4.5251320264154
3927	4.52346221807271
127898555	4.52218900475163
89927	4.52218900475163
51559	4.51955162920597
214	4.50709140361782
6443	4.50579791585863
27342	4.50375129658358
6909	4.50363790464703
55617	4.50317554459436
1072	4.5023306502736
5516	4.50093755495359
114818	4.4983135409668
55814	4.49005434483425
51778	4.48864835389905
1290	4.48523484313965
3688	4.4811274064432
2487	4.48024954108559
114793	4.47787817027786
125058	4.47591675101827
51110	4.47547590963429
6446	4.47524169882334
375	4.47482636748707
9238	4.47377165348263
1152	4.4720703527371
138151	4.47075830744647
6414	4.46968883062846
285601	4.4668785946445
890	4.46602284639313
124	4.46483826850713
91851	4.46436186280885
283991	4.46311086826818
10263	4.46221717923279
1476	4.46206459435458
29097	4.46054242371592
55379	4.45674435653401
6943	4.45463892172257
79817	4.45105383576172
219	4.44729618770229
55654	4.44056108442628
124902606	4.44014368842552
283349	4.43828278537515
80024	4.43424406713621
256356	4.42707703541344
9337	4.42369167355095
5465	4.42045936169176
115548	4.41574135043286
10921	4.40423070012395
79180	4.40245530177074
10072	4.40150070268214
3267	4.394089137623
51768	4.39393145159326
57617	4.39277304850139
26207	4.39228225319247
340371	4.38320754160123
823	4.38297185331011
5428	4.37922584684487
22795	4.37891237693061
7026	4.37801756159811
54542	4.37432371375589
2590	4.37427265414479
3185	4.37400574780288
126374	4.3699924089306
51371	4.36312628647652
81031	4.36173517116536
65018	4.34930058607779
1910	4.34882097421511
83642	4.34662206628636
24145	4.34620949301638
587	4.34615889332597
219931	4.34018408246357
28981	4.33483143500207
105369213	4.3311539153348
5336	4.3311539153348
1730	4.3268374567407
92017	4.32516860732236
10257	4.32393130086947
9117	4.32193840324056
53947	4.31894909376166
5277	4.31448933467008
28964	4.30674603364029
9583	4.30321523127338
29071	4.30262709582347
54545	4.30192196712935
7027	4.29445928070764
55346	4.2934456371988
57136	4.29083220336214
10253	4.29063813513482
128272	4.28909209724581
54503	4.28229542826573
22901	4.28073272900796
257364	4.27661848387915
84301	4.27625149962321
5159	4.27264607633144
79147	4.27136929062481
301	4.26960977556684
79803	4.26851969276677
29066	4.26500027864591
11144	4.26230547368133
955	4.26186083974678
5641	4.26169947525139
91351	4.25965706405732
81563	4.25910673967412
8394	4.25779888245357
29914	4.25471512233756
10762	4.25459994709917
286148	4.25450437064667
958	4.25411597181547
51184	4.25251748673425
79899	4.24227427004131
10581	4.24175467962152
1317	4.24165400469388
5166	4.24159170244548
90850	4.23759982568319
10197	4.23309586782213
3480	4.23247744803072
10227	4.22739209137378
4129	4.22728145260662
7133	4.22305374904372
54893	4.22223872367236
23541	4.22201559574277
10014	4.22108733598731
105374088	4.21651231485746
3624	4.2162404574247
5663	4.21390483987172
81622	4.21251904602738
55827	4.21126549056059
101928858	4.20930168129697
5355	4.20512973075969
11252	4.19795034962864
26503	4.1913046574899
56987	4.18205994370829
79065	4.17994454620899
9019	4.17807526221493
23200	4.17181482056251
92154	4.17156032882128
253430	4.17023743278438
90627	4.1655601696045
8420	4.1630119692058
126308	4.16096400866832
8239	4.15692077758632
5536	4.15424331656746
642938	4.15126084747119
10669	4.1469595985717
10929	4.1455415036339
23185	4.14397802446406
3717	4.14357887314422
81565	4.14304554192645
2790	4.14115203258682
220108	4.13985274310146
55201	4.13875731779813
7408	4.13743920928964
57546	4.13606799783619
10473	4.13572050077562
1353	4.13347750099012
64419	4.13277785295426
79188	4.1324871492525
345557	4.12915340227455
79846	4.12505422898554
23603	4.12465440430063
163732	4.11763286131134
100506394	4.11648493658997
57478	4.11587163897408
2768	4.1140026630025
1295	4.10577274353309
55301	4.0986007450812
9828	4.09767700435921
10175	4.09759216814294
80298	4.09581632331153
346653	4.09372768050377
9124	4.09328330897878
5934	4.09078858083084
51196	4.08649014495071
80704	4.0862815329824
388121	4.08319775932691
140606	4.08134385432531
54675	4.08125739221616
50999	4.08089799737016
3831	4.07794909331792
51257	4.07667658345906
10560	4.0732950668605
27430	4.07084375287678
1979	4.06754415723773
80148	4.0661724426882
10855	4.06478635296796
4256	4.06348064701302
57552	4.06063595211041
2890	4.05733780700418
107986583	4.05402563213339
493812	4.05402563213339
36	4.05058946272611
51126	4.04784191793824
4864	4.04523725358508
285590	4.04258673028905
140458	4.04064904249831
23417	4.03515582837256
9069	4.02660468850899
51734	4.02582813603935
102724594	4.02412957923436
7307	4.02412957923436
129881	4.02235601426895
11248	4.02024686230242
85456	4.01959104759079
9588	4.01267714938581
4327	4.01229558003633
85395	4.00999485645026
57088	4.00529836733256
196441	4.00479714703046
4673	4.00479341846509
79660	3.99981474623769
84641	3.99946914986183
5827	3.99728740441874
105369147	3.99641666513034
9563	3.98994940947061
9369	3.9888027929182
10114	3.98827713990873
91	3.98409522010409
5167	3.98253343990499
139818	3.97780143326752
55111	3.97458808791262
3764	3.97456373229527
533	3.97448124031059
11261	3.97427000583048
90313	3.97353501601402
5862	3.97334524818865
2314	3.97275936137192
145864	3.97172788802042
84803	3.96931107533686
3091	3.96791050651866
114789	3.96437298286917
272	3.96248110019422
120892	3.96002866190311
51363	3.95217592420318
6772	3.94417091441546
343450	3.93878781993337
2887	3.93241905224926
101929352	3.93059752035615
105376481	3.93059752035615
91369	3.92631546238293
139322	3.92499991614452
79145	3.92384894879956
4582	3.92313189890932
84725	3.9230841821469
2002	3.92213855887771
25797	3.92042082378117
392	3.91836737712097
5714	3.91614979860248
26229	3.91381228427801
2965	3.91361577990401
10687	3.90953590341207
64975	3.90133479277575
340359	3.90056295717454
54557	3.89947550256052
2621	3.89482062994455
200150	3.8928292276741
64342	3.89254172323461
124907782	3.89025214715197
56940	3.89025214715197
857	3.88790286940752
84895	3.88723118128974
54814	3.88602227437668
284	3.8857340393722
79658	3.88509532635906
11021	3.88181515571692
51763	3.88052118120343
151393	3.88049505892443
29889	3.87719492094727
161176	3.87671611808404
54788	3.87303451216909
53373	3.87302506397726
1398	3.87297443397837
399949	3.86804300970943
79026	3.86731222686775
10427	3.86718948814159
3131	3.8644602442602
55002	3.86357335610886
5604	3.86295913102349
4209	3.85918205448279
2531	3.8583353204731
3161	3.8581581517158
4660	3.85755340384686
1729	3.8574769104287
114902	3.85322370772595
221955	3.85312021263235
139735	3.85128621331962
3752	3.84997378850976
9218	3.84966283630887
55114	3.846942493071
7165	3.84389055171645
114134	3.84274614366095
529	3.841733473036
23476	3.8404464819318
102724316	3.8397398663189
81846	3.83972752835883
2185	3.83785764885956
11345	3.83718162990797
57211	3.83612567268871
2776	3.83379316084872
