gene_id	gene_name	SYMBOL	ENTREZID	baseMean	log2FoldChange	padj
ENSG00000181061.16	HIGD1A	HIGD1A	25994	2316.93560427135	1.27529142522712	1.82321660488562e-19
ENSG00000179820.19	MYADM	MYADM	91663	5682.32703913717	1.48189157833516	2.27067361868853e-19
ENSG00000198431.19	TXNRD1	TXNRD1	7296	22794.7463407049	1.45143750237237	2.66415889145778e-19
ENSG00000145675.18	PIK3R1	PIK3R1	5295	3501.63381829445	1.53752639491005	3.07672842904249e-19
ENSG00000163171.10	CDC42EP3	CDC42EP3	10602	1540.69225260634	1.37892916667207	3.74491201408002e-19
ENSG00000173838.14	MARCHF10	MARCHF10	162333	71.0637550828654	3.82050824517413	5.12941378305043e-19
ENSG00000162772.20	ATF3	ATF3	467	378.414598665907	1.77983352019795	1.26830177621994e-18
ENSG00000157514.20	TSC22D3	TSC22D3	1831	2255.57423126531	3.20586223730215	1.38094503971347e-18
ENSG00000171819.6	ANGPTL7	ANGPTL7	10218	254.779567081742	5.17502931346406	1.39071161820783e-18
ENSG00000113389.18	NPR3	NPR3	4883	4672.8272291963	1.00584134893116	1.52761594027404e-18
ENSG00000003402.23	CFLAR	CFLAR	8837	3353.95068011363	1.19246304578137	2.57981434991363e-18
ENSG00000159212.15	CLIC6	CLIC6	54102	797.635104558446	1.08169888128342	2.62973074169808e-18
ENSG00000136436.18	CALCOCO2	CALCOCO2	10241	3410.21895479588	1.11676623749777	2.82853231668499e-18
ENSG00000164930.14	FZD6	FZD6	8323	1453.68777709471	1.00286658663037	5.26067831789204e-18
ENSG00000169218.16	RSPO1	RSPO1	284654	693.363340399432	1.44683605592288	5.79691543685072e-18
ENSG00000106617.18	PRKAG2	PRKAG2	51422	1088.97352718003	1.60825687498496	8.11091112499859e-18
ENSG00000127083.10	OMD	OMD	4958	437.69995352302	1.76465859871768	9.17072181473637e-18
ENSG00000243244.9	STON1	STON1	11037	1840.80910541709	1.32989390233244	1.61071878183401e-17
ENSG00000138074.17	SLC5A6	SLC5A6	8884	483.660602127661	1.27405970379355	1.91073099823776e-17
ENSG00000118689.17	FOXO3	FOXO3	2309	5344.30493484385	1.30362466432801	2.24678731362312e-17
ENSG00000120837.10	NFYB	NFYB	4801	2002.32928117385	1.00890053026488	2.3326770692452e-17
ENSG00000170775.4	GPR37	GPR37	2861	232.737287870523	1.52684371542078	5.60396402885453e-17
ENSG00000274276.6	ENSG00000274276	LOC102724560	102724560	541.043479269396	1.46915708919667	6.52354613748642e-17
ENSG00000108604.20	SMARCD2	SMARCD2	6603	2233.80473753106	1.27103496905017	7.14767851842487e-17
ENSG00000165802.25	NSMF	NSMF	26012	1648.61222653358	1.03484044078141	7.54910392179431e-17
ENSG00000128311.16	TST	TST	7263	332.817277076502	1.30011777299494	7.6559535455303e-17
ENSG00000165072.12	MAMDC2	MAMDC2	256691	772.892477933232	2.56598095386519	1.38828595632901e-16
ENSG00000179593.18	ALOX15B	ALOX15B	247	68.9873137346904	9.54364351240205	1.78940507063561e-16
ENSG00000143127.15	ITGA10	ITGA10	8515	254.495267058769	3.34235910275072	2.33938980388853e-16
ENSG00000107796.16	ACTA2	ACTA2	59	5918.59787333947	1.14724272048833	2.53519753094943e-16
ENSG00000182552.16	RWDD4	RWDD4	201965	1088.35829750169	1.1056161859502	2.57009979847336e-16
ENSG00000185022.15	MAFF	MAFF	23764	666.535523691995	1.29954498601217	2.57677104325846e-16
ENSG00000170873.21	MTSS1	MTSS1	9788	1711.28778754397	1.82839925763421	2.63171455960419e-16
ENSG00000124151.21	NCOA3	NCOA3	8202	1647.77894192027	1.38190417378473	2.78145767600798e-16
ENSG00000174306.24	ZHX3	ZHX3	23051	3501.23356703729	1.10752018440266	3.09494276435164e-16
ENSG00000084090.16	STARD7	STARD7	56910	3761.987478818	1.25615582135097	4.41930100516161e-16
ENSG00000149591.19	TAGLN	TAGLN	6876	14869.1587841967	1.22472465782429	4.49718374687558e-16
ENSG00000275482.4	EPHB6	EPHB6	2051	1599.60240744578	1.43602707152666	7.21858836981456e-16
ENSG00000151690.17	MFSD6	MFSD6	54842	961.57189943175	1.06597544566124	9.49738230904326e-16
ENSG00000135821.20	GLUL	GLUL	2752	20070.9739103939	2.93160537113275	9.97160037710396e-16
ENSG00000157654.21	PALM2AKAP2	PALM2AKAP2	445815	7930.08951136839	1.13025435754192	1.11509264981671e-15
ENSG00000169738.10	DCXR	DCXR	51181	615.616781458217	1.98847058868449	1.18211039867936e-15
ENSG00000147119.6	CHST7	CHST7	56548	534.264231657087	1.55005456918924	1.19991571973262e-15
ENSG00000213639.13	PPP1CB	PPP1CB	5500	5245.60290811666	1.02379043790379	1.41644763595679e-15
ENSG00000103175.13	WFDC1	WFDC1	58189	274.670092280726	1.72374937892109	2.15837054646841e-15
ENSG00000158246.9	TENT5B	TENT5B	115572	84.4812605487893	2.40284456381974	2.19430491734944e-15
ENSG00000023909.12	GCLM	GCLM	2730	2016.90851770522	1.2359091793717	2.62105966571731e-15
ENSG00000162878.15	PKDCC	PKDCC	91461	1607.9805823453	1.56107217478905	2.74827750595764e-15
ENSG00000138356.16	AOX1	AOX1	316	4465.64879308869	1.55059170961439	2.97959608021027e-15
ENSG00000142871.20	CCN1	CCN1	3491	5370.21114089843	1.78826906797282	3.52716463741666e-15
ENSG00000167191.14	GPRC5B	GPRC5B	51704	3057.36368088793	1.75288498518921	4.7977028686607e-15
ENSG00000171793.19	CTPS1	CTPS1	1503	773.527805888574	1.72289857067948	4.98860599354195e-15
ENSG00000206538.11	VGLL3	VGLL3	389136	12770.2599997338	1.28302622554752	1.03846755272727e-14
ENSG00000169926.13	KLF13	KLF13	51621	998.509120294513	1.0638344669285	1.09168963572231e-14
ENSG00000137393.12	RNF144B	RNF144B	255488	169.983736405827	1.8030019428848	2.12283968105612e-14
ENSG00000152779.16	SLC16A12	SLC16A12	387700	47.7305575556223	3.90087936745686	2.98528074452173e-14
ENSG00000241399.9	CD302	CD302	9936	4429.3500899488	1.50999715125826	2.99829170114897e-14
ENSG00000166825.17	ANPEP	ANPEP	290	4308.17397572068	1.10244664753924	3.16390784365061e-14
ENSG00000197301.7	HMGA2-AS1	HMGA2-AS1	100129940	245.650267335006	2.44820979214733	3.16390784365061e-14
ENSG00000145244.14	CORIN	CORIN	10699	168.186932784334	1.87044420485196	3.28022710656962e-14
ENSG00000116962.17	NID1	NID1	4811	9719.52834876877	1.38244049386857	4.64929791680244e-14
ENSG00000244274.11	DBNDD2	DBNDD2	55861	325.201586460056	1.13292816129965	5.12183334666008e-14
ENSG00000112936.23	C7	C7	730	2025.36427354649	3.21382798836316	9.81267534154164e-14
ENSG00000165996.16	HACD1	HACD1	9200	338.325268287166	1.05022381104184	1.0486198038661e-13
ENSG00000111859.19	NEDD9	NEDD9	4739	1887.44719429951	1.61581853930981	1.13153109378159e-13
ENSG00000081803.19	CADPS2	CADPS2	93664	1204.51776302712	1.38211979169186	1.17522094934055e-13
ENSG00000168556.8	ING2	ING2	3622	464.987507256577	1.03065676725648	1.32144639319737e-13
ENSG00000213626.14	LBH	LBH	81606	13444.9820265437	1.60469418467432	1.50113836098373e-13
ENSG00000197769.8	MAP1LC3C	MAP1LC3C	440738	154.438147859616	2.24702444107981	1.73703754071415e-13
ENSG00000100033.19	PRODH	PRODH	5625	50.8236029803421	3.81350055881711	1.80508253102806e-13
ENSG00000112576.14	CCND3	CCND3	896	670.8287811791	1.27116498945948	2.16902640329674e-13
ENSG00000110756.20	HPS5	HPS5	11234	669.652544397132	1.70507227136564	2.78191690837992e-13
ENSG00000102554.16	KLF5	KLF5	688	159.755080251164	2.43611055924917	3.67087606308398e-13
ENSG00000083290.22	ULK2	ULK2	9706	1578.30625669937	1.29263079616439	4.73155767447081e-13
ENSG00000130066.18	SAT1	SAT1	6303	4283.14352389904	1.33310809963122	6.21880195082507e-13
ENSG00000099860.12	GADD45B	GADD45B	4616	378.749289761608	1.47061359344996	6.92302798464291e-13
ENSG00000159167.13	STC1	STC1	6781	951.52081176235	2.00500512459124	9.01610926282877e-13
ENSG00000124440.17	HIF3A	HIF3A	64344	206.680628709995	1.85778692335268	1.10693313408328e-12
ENSG00000118523.8	CCN2	CCN2	1490	12211.5725252368	1.2310928483027	1.22236647647367e-12
ENSG00000231246.4	LINC02884	LINC02884	105378909	67.4090640433522	3.4289805894669	1.3172192770535e-12
ENSG00000079691.21	CARMIL1	CARMIL1	55604	1548.96414376086	1.18632442082716	1.68506387372291e-12
ENSG00000035664.13	DAPK2	DAPK2	23604	839.429203986477	1.69760105195457	1.82033938345646e-12
ENSG00000143878.10	RHOB	RHOB	388	3388.02911349192	1.23612321088423	2.44921632110929e-12
