gene_id	gene_name	gene_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000138032.23	PPM1B	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	846.331521908011	0.635571404862489	0.130057473465032	4.88685031263022	1.0246193460166e-06	1.60422135160526e-05
ENSG00000123130.19	ACOT9	protein_coding;retained_intron;nonsense_mediated_decay	1073.41258084559	0.404521182760253	0.0828315042109035	4.88366336714436	1.04132796371558e-06	1.62899759892621e-05
ENSG00000164305.22	CASP3	protein_coding;retained_intron;nonsense_mediated_decay	544.56473551282	0.775182329106225	0.158789794415161	4.88181455213354	1.05114086015306e-06	1.64295367013576e-05
ENSG00000109339.26	MAPK10	nonsense_mediated_decay;protein_coding;retained_intron;protein_coding_CDS_not_defined	909.406251615331	-0.739787897455066	0.151672177358488	-4.87754517894553	1.07414250565631e-06	1.67748288934191e-05
ENSG00000115084.17	SLC35F5	protein_coding;nonsense_mediated_decay;retained_intron;protein_coding_CDS_not_defined	2529.41063640836	0.678435444134609	0.139106966621109	4.87707740750677	1.07669191373565e-06	1.68004052382054e-05
ENSG00000230606.12	APPAT	lncRNA	319.507391292716	-0.667827331086069	0.136961045367024	-4.87603850639753	1.08237488954057e-06	1.68605278651341e-05
ENSG00000259583.5	ALDH1A3-AS1	lncRNA	138.608175196878	-1.24746608967251	0.255827515045041	-4.87619984681036	1.08149043898052e-06	1.68605278651341e-05
ENSG00000175600.18	SUGCT	protein_coding;nonsense_mediated_decay;protein_coding_CDS_not_defined	317.584630559558	0.818610324645813	0.167921120943052	4.87496939067858	1.08825327880389e-06	1.69377799170592e-05
ENSG00000170802.19	FOXN2	protein_coding;nonsense_mediated_decay	304.730971740135	0.968965890248449	0.198964968314427	4.87003264171197	1.11579814663635e-06	1.73518381824597e-05
ENSG00000123643.16	SLC36A1	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	829.716466582555	0.672331843820015	0.1380907667897	4.86876754652192	1.12296408809798e-06	1.7448551615067e-05
ENSG00000080822.19	CLDND1	protein_coding;retained_intron;nonsense_mediated_decay;protein_coding_CDS_not_defined	1076.36780936348	0.51342276686867	0.105473838547351	4.86777360092169	1.12862518769412e-06	1.75217396451788e-05
ENSG00000137959.19	IFI44L	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	104.209961154779	1.64492946946294	0.338093839169556	4.86530447731111	1.1428073802449e-06	1.77269818208359e-05
ENSG00000106397.14	PLOD3	protein_coding;nonsense_mediated_decay;retained_intron	1820.29254710315	0.359678503512069	0.0739662048942062	4.86274108596644	1.15771239511376e-06	1.79430815955899e-05
ENSG00000145911.9	N4BP3	protein_coding;nonsense_mediated_decay	76.0902325661141	-1.36055356786102	0.27989272957611	-4.86098216956742	1.16804775295539e-06	1.80880537743378e-05
ENSG00000107882.14	SUFU	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	752.789148070653	-0.484400094800789	0.0997310730184116	-4.85706290066048	1.19139756211541e-06	1.84341513641164e-05
ENSG00000184564.12	SLITRK6	protein_coding;protein_coding_CDS_not_defined	41.5545885389706	-3.00647038935303	0.619079795557941	-4.85635359274401	1.19567111967362e-06	1.84847545246187e-05
ENSG00000074219.16	TEAD2	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	607.990969518142	-0.713697605809419	0.147001664226244	-4.85503078870589	1.20368040296809e-06	1.85929777585046e-05
ENSG00000126062.6	TMEM115	protein_coding	1373.40070715084	0.387528928559959	0.0798252968791519	4.85471327650233	1.20561053623097e-06	1.86071951102716e-05
ENSG00000161677.14	JOSD2	protein_coding;retained_intron;nonsense_mediated_decay	482.156624016649	0.54921973922201	0.113244414971109	4.84986159681364	1.23547650324692e-06	1.90457070742527e-05
ENSG00000165644.13	COMTD1	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	130.097354881507	1.0186574997723	0.210042732494374	4.84976312998398	1.23608995337563e-06	1.90457070742527e-05
ENSG00000100014.22	SPECC1L	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	2490.68171494343	0.410554298928243	0.0847396536894768	4.84488997834112	1.26681858930339e-06	1.95028679730016e-05
ENSG00000135926.17	TMBIM1	protein_coding;nonsense_mediated_decay;retained_intron	5405.63588244419	0.575190810344154	0.118732488462231	4.84442647327419	1.26977928650556e-06	1.95321307944277e-05
ENSG00000006607.16	FARP2	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	977.672010088472	0.555885124759374	0.114753197290499	4.84417983886012	1.27135740700955e-06	1.95400953264154e-05
