gene_id	gene_name	gene_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000288746.3	ENSG00000288746	lncRNA	10.2636359916697	1.00909013603693	0.812474608440354	1.24199590430771	0.214238073189597	0.462361116833466
ENSG00000269386.7	RAB11B-AS1	lncRNA	52.3161876569875	0.391356507607282	0.315213918518253	1.24155846114587	0.214399515868048	0.462532694733831
ENSG00000035499.15	DEPDC1B	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	12.9737489888344	-0.737806636914206	0.594365116795409	-1.24133569764689	0.214481762619182	0.462592573168291
ENSG00000143612.23	LTAP1	protein_coding;nonsense_mediated_decay;protein_coding_CDS_not_defined	2630.34183549269	0.134633639449429	0.108463612292822	1.24127932495881	0.214502579646356	0.462592573168291
ENSG00000196235.16	SUPT5H	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	2677.13514395724	-0.133883475968249	0.107856618027905	-1.24130979087078	0.214491329164313	0.462592573168291
ENSG00000121989.17	ACVR2A	protein_coding;protein_coding_CDS_not_defined;retained_intron	242.366242293129	-0.217381932178217	0.175151600940819	-1.24110730938547	0.214566109710065	0.462621302180541
ENSG00000143457.13	GOLPH3L	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	614.718582612038	-0.14378082113666	0.115847194553964	-1.24112475654025	0.214559665379712	0.462621302180541
ENSG00000172062.19	SMN1	protein_coding;nonsense_mediated_decay;protein_coding_CDS_not_defined;retained_intron	56.459576634403	-0.481528462086322	0.388075453288468	-1.24081144016184	0.214675414050879	0.462640454932709
ENSG00000184347.17	SLIT3	protein_coding;protein_coding_CDS_not_defined;retained_intron	16369.4962838673	-0.111987428174489	0.0902517830902399	-1.24083341447688	0.214667294597998	0.462640454932709
ENSG00000231889.10	TRAF3IP2-AS1	lncRNA	146.662997359215	0.292058407216682	0.235358218946602	1.24091016886453	0.214638935786342	0.462640454932709
ENSG00000279170.4	TSTD3	processed_transcript;transcribed_unitary_pseudogene	272.094029320612	-0.211592711605669	0.170503902333113	-1.2409845681554	0.214611449701463	0.462640454932709
ENSG00000291087.2	CRYBB2P1	lncRNA;retained_intron	247.254188370769	-0.243971553845986	0.196633486851427	-1.24074265148096	0.214700832722777	0.46264113019356
ENSG00000174796.14	THAP6	protein_coding;retained_intron;nonsense_mediated_decay	368.312721352201	-0.183003313851989	0.147558309265942	-1.24021015666536	0.214897672672535	0.463011143693379
ENSG00000197362.17	ZNF786	protein_coding;nonsense_mediated_decay	77.7337041763452	-0.334273605484193	0.269580929384261	-1.2399749724422	0.214984651349792	0.463144395028522
ENSG00000075188.11	NUP37	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	457.764896690737	-0.166451390022132	0.134264512696308	-1.23972736115781	0.215076253368132	0.463174296579299
ENSG00000113621.17	TXNDC15	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	1308.61993429039	0.139780604829587	0.112760032816665	1.23962898323074	0.215112655382858	0.463174296579299
ENSG00000138035.17	PNPT1	nonsense_mediated_decay;protein_coding;retained_intron	426.01287092174	0.154843995809828	0.124913130134122	1.23961344690961	0.215118404572139	0.463174296579299
ENSG00000254473.3	UBQLN1-AS1	lncRNA	37.8679844978536	-0.484294534540076	0.39068683625945	-1.2395977790725	0.215124202540819	0.463174296579299
ENSG00000288195.1	PODNL1	protein_coding	64.8701502332387	0.87275050191917	0.704045747816905	1.23962186353001	0.215115290002293	0.463174296579299
ENSG00000239382.13	ALKBH6	protein_coding;retained_intron;nonsense_mediated_decay;protein_coding_CDS_not_defined	156.070187051908	0.224786769860006	0.181356084562544	1.23947740933106	0.215168749776775	0.463216088888599
ENSG00000086504.20	MRPL28	protein_coding;retained_intron	594.382092080496	-0.147364456681308	0.118932826475281	-1.23905620549543	0.215324684024271	0.463497637799236
ENSG00000086666.22	ZFAND6	protein_coding;retained_intron;nonsense_mediated_decay	1058.03441166403	-0.131596195468128	0.106226824437921	-1.23882264356902	0.215411186276518	0.463629682399401
ENSG00000147894.19	C9orf72	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	74.9318516929374	0.454061435669117	0.366557185541805	1.23871923284759	0.215449493580194	0.463657978243117
ENSG00000005700.17	IBTK	protein_coding;retained_intron;nonsense_mediated_decay	1059.8549362901	0.111742083570175	0.0902794663498782	1.2377353133338	0.215814220671086	0.464291651387468
ENSG00000064225.15	ST3GAL6	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay;retained_intron	81.0306993111875	-0.344291959288365	0.278224453070252	-1.23746117743803	0.215915918697197	0.464291651387468
ENSG00000107862.9	GBF1	protein_coding;retained_intron;nonsense_mediated_decay;protein_coding_CDS_not_defined	2594.67128263047	-0.0855065730724773	0.0690838552451996	-1.23772150191949	0.215819343558436	0.464291651387468
ENSG00000108515.20	ENO3	protein_coding;retained_intron;nonsense_mediated_decay	92.6825285547666	0.399322328958196	0.32269791927683	1.23744934536015	0.215920308898991	0.464291651387468
ENSG00000148572.18	NRBF2	protein_coding;nonsense_mediated_decay	646.737711640919	-0.127506838750513	0.103035895676692	-1.23749920271093	0.215901810146416	0.464291651387468
ENSG00000151687.16	ANKAR	protein_coding;nonsense_mediated_decay;protein_coding_CDS_not_defined;retained_intron	67.0722965452944	-0.413164959775019	0.333811433960521	-1.23771961575134	0.215820043176929	0.464291651387468
